Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
brickGableQuarter,blocks,Block,,,Brick Gable Quarter,,"Ziegel – Giebel, Viertel",1/4 de gablete de ladrillo,Quart de pignon en brique,Quarto di frontone di mattoni,レンガ・切り妻型（1/4）,벽돌 박공 (1/4),"Cegła — szczyt, ćwierć",Um quarto de cumeeira de tijolos,Четверть кирпичного фронтона,Tuğla Yan Duvar - Çeyrek,砖山墙 1/4,1/4 磚砌山墻
brickGroupDesc,blocks,Block,,,Brick walls offer decent protection and can be upgraded to concrete later.,,Ziegelmauern bieten brauchbaren Schutz und können später zu Beton aufgewertet werden.,Las paredes de ladrillo aportan una protección aceptable y se pueden mejorar a paredes de hormigón.,Les murs de briques offrent une bonne protection et peuvent être améliorés en murs de béton par la suite.,Le pareti di mattoni offrono una discreta protezione e possono essere successivamente trasformate in calcestruzzo.,レンガは適度な保護を提供し、後からコンクリートブロックへアップグレードすることも可能です。,벽돌로 된 벽은 적절한 수준의 보호 능력을 제공하며 이후 콘크리트로 업그레이드할 수 있습니다.,Cegły zapewniają przyzwoitą ochronę. Później można je ulepszyć do betonu.,As paredes de tijolos oferecem boa proteção e podem ser aprimoradas para concreto mais tarde.,"Кирпичные стены служат неплохой защитой, а позже их можно улучшить и превратить в бетонные.",Tuğla duvarlar iyi bir koruma sağlar ve daha sonra betona yükseltilebilir.,砖墙可提供良好的保护，并且在之后可升级为混凝土墙。,磚墻可提供良好的保護作用，以後可升級為混凝土墻。
brickHalf,blocks,Block,,,Brick 1/2 Block,,Ziegel – 1/2-Block,1/2 bloque de ladrillo,1/2 bloc de brique,1/2 blocco di mattoni,レンガブロック（1/2）,벽돌 1/2 블록,Cegła — 1/2 bloku,1/2 bloco de tijolos,1/2 кирпичного блока,Tuğla 1/2 Blok,砖块 1/2,1/2 磚砌塊
brickHalfBlockBaseboard1,blocks,Block,,,Brick Half Block Baseboard 1,,Halber Ziegelblock – Sockelleiste 1,1/2 bloque de zócalo de ladrillo 1,Plinthe sur moitié de bloc de brique 1,Metà battiscopa di mattoni 1,レンガ半分ブロック ベースボード1,벽돌 1/2 블록 베이스보드 1,"Cegła – pół bloku, płyta bazowa 1",Base de meio bloco de tijolos 1,Кирпичный половинный блок с 1 плинтусом,Tuğla Yarım Blok Kenar Tahtası 1,半块砖 踢脚线 1,半磚砌塊基板 1
brickHalfBlockBaseboard4,blocks,Block,,,Brick Half Block Baseboard 4,,Halber Ziegelblock – Sockelleiste 4,1/2 bloque de zócalo de ladrillo 4,Plinthe sur moitié de bloc de brique 4,Metà battiscopa di mattoni 4,レンガ半分ブロック ベースボード4,벽돌 1/2 블록 베이스보드 4,"Cegła – pół bloku, płyta bazowa 4",Base de meio bloco de tijolos 4,Кирпичный половинный блок с 4 плинтусами,Tuğla Yarım Blok Kenar Tahtası 4,半块砖 踢脚线 4,半磚砌塊基板 4
brickHalfBlockChairRail1,blocks,Block,,,Brick Half Block Chair Rail 1,,Halber Ziegelblock – Deckleiste 1,1/2 bloque de raíl para sillas de ladrillo 1,Antébois sur moitié de bloc de brique 1,Metà battisedia di mattoni 1,レンガ半分ブロック チェアレール 1,벽돌 1/2 블록 허리 몰딩 1,"Cegła – pół bloku, listwa lamperii 1",Protetor de parede de meio bloco de tijolos 1,Кирпичный половинный блок c 1 рейкой,Tuğla Yarım Blok Eteklik 1,半块砖 护墙板 1,半磚砌塊護墻板 1
brickHalfBlockChairRail4,blocks,Block,,,Brick Half Block Chair Rail 4,,Halber Ziegelblock – Deckleiste 4,1/2 bloque de raíl para sillas de ladrillo 4,Antébois sur moitié de bloc de brique 4,Metà battisedia di mattoni 4,レンガ半分ブロック チェアレール 4,벽돌 1/2 블록 허리 몰딩 4,"Cegła – pół bloku, listwa lamperii 4",Protetor de parede de meio bloco de tijolos 4,Кирпичный половинный блок c 4 рейками,Tuğla Yarım Blok Eteklik 4,半块砖 护墙板 4,半磚砌塊護墻板 4
brickHalfBlockCornerBaseboard1,blocks,Block,,,Brick Half Block Corner Baseboard 1,,"Halber Ziegelblock – Sockelleiste 1, Ecke",1/2 bloque de esquina de zócalo de ladrillo 1,Plinthe sur angle d'une moitié de bloc de brique 1,Metà battiscopa angolare di mattoni 1,レンガ半分ブロック コーナーベースボード 1,벽돌 1/2 블록 모서리 베이스보드 1,"Cegła – pół bloku, róg, płyta bazowa 1",Base de canto de meio bloco de tijolos 1,Кирпичный половинный угловой блок с 1 плинтусом,Tuğla Yarım Blok Köşe Kenar Tahtası 1,半块砖 拐角 踢脚线 1,半磚砌塊基板轉角 1
brickHalfBlockCornerBaseboard4,blocks,Block,,,Brick Half Block Corner Baseboard 4,,"Halber Ziegelblock – Sockelleiste 4, Ecke",1/2 bloque de esquina de zócalo de ladrillo 4,Plinthe sur angle d'une moitié de bloc de brique 4,Metà battiscopa angolare di mattoni 4,レンガ半分ブロック コーナーベースボード 4,벽돌 1/2 블록 모서리 베이스보드 4,"Cegła – pół bloku, róg, płyta bazowa 4",Base de canto de meio bloco de tijolos 4,Кирпичный половинный угловой блок с 4 плинтусами,Tuğla Yarım Blok Köşe Kenar Tahtası 4,半块砖 拐角 踢脚线 4,半磚砌塊基板轉角 4
brickHalfBlockCornerChairRail1,blocks,Block,,,Brick Half Block Corner Chair Rail 1,,"Halber Ziegelblock – Deckleiste 1, Ecke",1/2 bloque de esquina de raíl para sillas de ladrillo 1,Antébois sur angle d'une moitié de bloc de brique 1,Metà battisedia angolare di mattoni 1,レンガ半分ブロック コーナーチェアレール 1,벽돌 1/2 블록 모서리 허리 몰딩 1,"Cegła – pół bloku, róg, listwa lamperii 1",Protetor de parede de canto de meio bloco de tijolos 1,Кирпичный половинный угловой блок с 1 рейкой,Tuğla Yarım Blok Köşe Eteklik 1,半块砖 拐角 护墙板 1,半磚砌塊護墻板轉角 1
brickHalfBlockCornerChairRail4,blocks,Block,,,Brick Half Block Corner Chair Rail 4,,"Halber Ziegelblock – Deckleiste 4, Ecke",1/2 bloque de esquina de raíl para sillas de ladrillo 4,Antébois sur angle d'une moitié de bloc de brique 4,Metà battisedia angolare di mattoni 4,レンガ半分ブロック コーナーチェアレール 4,벽돌 1/2 블록 모서리 허리 몰딩 4,"Cegła – pół bloku, róg, listwa lamperii 4",Protetor de parede de canto de meio bloco de tijolos 4,Кирпичный половинный угловой блок с 4 рейками,Tuğla Yarım Blok Köşe Eteklik 4,半块砖 拐角 护墙板 4,半磚砌塊護墻板轉角 4
brickHalfCentered,blocks,Block,,,Brick 1/2 Block CTR,,"Ziegel – 1/2-Block, Mitte",1/2 bloque de ladrillo centrado,1/2 bloc de brique centré,1/2 blocco di mattoni centrale,レンガブロック（センター・1/2）,벽돌 1/2 블록 (CTR),"Cegła — 1/2 bloku, CTR",1/2 bloco central de tijolos 1/2,1/2 центрованного кирпичного блока,Tuğla 1/2 Blok - Ortalı,砖块 1/2 居中,1/2 磚砌塊 中心
brickHalfCenteredDestroyedBlock01,blocks,Block,,,Brick Destroyed Centered Half Block 01,,"Ziegel – zerstört, halber Mittelblock 01",1/2 bloque centrado destruido de ladrillo 01,Moitié de bloc centré en brique détruit 01,Metà centrale blocco di mattoni distrutto 01,レンガ破損ブロック01（中心・半分）,부서진 벽돌 중앙 1/2 블록 01,"Cegła – zniszczona, wyśrodkowanie, pół bloku 01",Meio bloco centralizado de tijolos destruído 01,Разбитый центрованный кирпичный блок (половина) 01,Tuğla Parçalanmış Ortalı Yarım Blok 01,半块毁坏居中的砖 01,破損的中心半磚砌塊 01
brickHalfCenteredDestroyedBlock02,blocks,Block,,,Brick Destroyed Centered Half Block 02,,"Ziegel – zerstört, halber Mittelblock 02",1/2 bloque centrado destruido de ladrillo 02,Moitié de bloc centré en brique détruit 02,Metà centrale blocco di mattoni distrutto 02,レンガ破損ブロック02（中心・半分）,부서진 벽돌 중앙 1/2 블록 02,"Cegła – zniszczona, wyśrodkowanie, pół bloku 02",Meio bloco centralizado de tijolos destruído 02,Разбитый центрованный кирпичный блок (половина) 02,Tuğla Parçalanmış Ortalı Yarım Blok 02,半块毁坏居中的砖 02,破損的中心半磚砌塊 02
brickHalfCenteredDestroyedBlock03,blocks,Block,,,Brick Destroyed Centered Half Block 03,,"Ziegel – zerstört, halber Mittelblock 03",1/2 bloque centrado destruido de ladrillo 03,Moitié de bloc centré en brique détruit 03,Metà centrale blocco di mattoni distrutto 03,レンガ破損ブロック03（中心・半分）,부서진 벽돌 중앙 1/2 블록 03,"Cegła – zniszczona, wyśrodkowanie, pół bloku 03",Meio bloco centralizado de tijolos destruído 03,Разбитый центрованный кирпичный блок (половина) 03,Tuğla Parçalanmış Ortalı Yarım Blok 03,半块毁坏居中的砖 03,破損的中心半磚砌塊 03
brickHalfCenteredDestroyedBlock04,blocks,Block,,,Brick Destroyed Centered Half Block 04,,"Ziegel – zerstört, halber Mittelblock 04",1/2 bloque centrado destruido de ladrillo 04,Moitié de bloc centré en brique détruit 04,Metà centrale blocco di mattoni distrutto 04,レンガ破損ブロック04（中心・半分）,부서진 벽돌 중앙 1/2 블록 04,"Cegła – zniszczona, wyśrodkowanie, pół bloku 04",Meio bloco centralizado de tijolos destruído 04,Разбитый центрованный кирпичный блок (половина) 04,Tuğla Parçalanmış Ortalı Yarım Blok 04,半块毁坏居中的砖 04,破損的中心半磚砌塊 04
brickHalfCNRInside2,blocks,Block,,,Brick 1/2 Block Corner Inside 2,,"Ziegel – 1/2-Block, Innenecke 2",1/2 bloque de ladrillo de esquina interior 2,Angle intérieur 2 de 1/2 bloc de brique,Angolo interno 1/2 blocco di mattoni 2,レンガブロック2（内側コーナー用・1/2）,벽돌 1/2 블록 (내부 모서리 2),"Cegła — 1/2 bloku, róg, wnętrze 2",Canto interno de 1/2 bloco de tijolos 2,1/2 кирпичного блока: внутренний угол 2,Tuğla 1/2 Blok - İç Köşe 2,砖块 1/2 拐角 内部 2,1/2 磚砌塊內轉角 2
brickHalfDestroyedBlock01,blocks,Block,,,Brick Destroyed Half Block 01,,"Ziegel – zerstört, halber Block 01",1/2 bloque destruido de ladrillo 01,Moitié de bloc en brique détruit 01,Metà blocco di mattoni distrutto 01,レンガ破損ブロック01（半分）,부서진 벽돌 1/2 블록 01,"Cegła – zniszczona, pół bloku 01",Meio bloco de tijolos destruído 01,Разбитый кирпичный блок (половина) 01,Tuğla Parçalanmış Yarım Blok 01,半块毁坏的砖 01,破損的半磚砌塊 01
brickHalfDestroyedBlock02,blocks,Block,,,Brick Destroyed Half Block 02,,"Ziegel – zerstört, halber Block 02",1/2 bloque destruido de ladrillo 02,Moitié de bloc en brique détruit 02,Metà blocco di mattoni distrutto 02,レンガ破損ブロック02（半分）,부서진 벽돌 1/2 블록 02,"Cegła – zniszczona, pół bloku 02",Meio bloco de tijolos destruído 02,Разбитый кирпичный блок (половина) 02,Tuğla Parçalanmış Yarım Blok 02,半块毁坏的砖 02,破損的半磚砌塊 02
brickHalfDestroyedBlock03,blocks,Block,,,Brick Destroyed Half Block 03,,"Ziegel – zerstört, halber Block 03",1/2 bloque destruido de ladrillo 03,Moitié de bloc en brique détruit 03,Metà blocco di mattoni distrutto 03,レンガ破損ブロック03（半分）,부서진 벽돌 1/2 블록 03,"Cegła – zniszczona, pół bloku 03",Meio bloco de tijolos destruído 03,Разбитый кирпичный блок (половина) 03,Tuğla Parçalanmış Yarım Blok 03,半块毁坏的砖 03,破損的半磚砌塊 03
brickHalfDestroyedBlock04,blocks,Block,,,Brick Destroyed Half Block 04,,"Ziegel – zerstört, halber Block 04",1/2 bloque destruido de ladrillo 04,Moitié de bloc en brique détruit 04,Metà blocco di mattoni distrutto 04,レンガ破損ブロック04（半分）,부서진 벽돌 1/2 블록 04,"Cegła – zniszczona, pół bloku 04",Meio bloco de tijolos destruído 04,Разбитый кирпичный блок (половина) 04,Tuğla Parçalanmış Yarım Blok 04,半块毁坏的砖 04,破損的半磚砌塊 04
brickHalfDestroyedBlock05,blocks,Block,,,Brick Destroyed Half Block 05,,"Ziegel – zerstört, halber Block 05",1/2 bloque destruido de ladrillo 05,Moitié de bloc en brique détruit 05,Metà blocco di mattoni distrutto 05,レンガ破損ブロック05（半分）,부서진 벽돌 1/2 블록 05,"Cegła – zniszczona, pół bloku 05",Meio bloco de tijolos destruído 05,Разбитый кирпичный блок (половина) 05,Tuğla Parçalanmış Yarım Blok 05,半块毁坏的砖 05,破損的半磚砌塊 05
brickHalfDestroyedBlock06,blocks,Block,,,Brick Destroyed Half Block 06,,"Ziegel – zerstört, halber Block 06",1/2 bloque destruido de ladrillo 06,Moitié de bloc en brique détruit 06,Metà blocco di mattoni distrutto 06,レンガ破損ブロック06（半分）,부서진 벽돌 1/2 블록 06,"Cegła – zniszczona, pół bloku 06",Meio bloco de tijolos destruído 06,Разбитый кирпичный блок (половина) 06,Tuğla Parçalanmış Yarım Blok 06,半块毁坏的砖 06,破損的半磚砌塊 06
brickHalfDestroyedBlock07,blocks,Block,,,Brick Destroyed Half Block 07,,"Ziegel – zerstört, halber Block 07",1/2 bloque destruido de ladrillo 07,Moitié de bloc en brique détruit 07,Metà blocco di mattoni distrutto 07,レンガ破損ブロック07（半分）,부서진 벽돌 1/2 블록 07,"Cegła – zniszczona, pół bloku 07",Meio bloco de tijolos destruído 07,Разбитый кирпичный блок (половина) 07,Tuğla Parçalanmış Yarım Blok 07,半块毁坏的砖 07,破損的半磚砌塊 07
brickHalfDestroyedBlock08,blocks,Block,,,Brick Destroyed Half Block 08,,"Ziegel – zerstört, halber Block 08",1/2 bloque destruido de ladrillo 08,Moitié de bloc en brique détruit 08,Metà blocco di mattoni distrutto 08,レンガ破損ブロック08（半分）,부서진 벽돌 1/2 블록 08,"Cegła – zniszczona, pół bloku 08",Meio bloco de tijolos destruído 08,Разбитый кирпичный блок (половина) 08,Tuğla Parçalanmış Yarım Blok 08,半块毁坏的砖 08,破損的半磚砌塊 08
brickHalfInsideCorner,blocks,Block,,,Brick 7/8 Block,,Ziegel – 7/8-Block,7/8 bloque de ladrillo,7/8 de bloc de brique,7/8 blocco di mattoni,レンガブロック（7/8）,벽돌 7/8 블록,Cegła — 7/8 bloku,7/8 de bloco de tijolos,7/8 кирпичного блока,Tuğla 7/8 Blok,砖块 7/8,7/8 磚砌塊
brickHalfRampStairs50,blocks,Block,,,Brick 1/2 Ramp,,Ziegel – 1/2 Rampe,1/2 bloque de rampa de ladrillo,1/2 rampe de brique,1/2 rampa di mattoni,レンガ・ランプ型（1/2）,벽돌 1/2 램프,Cegła — 1/2 rampy,1/2 rampa de tijolos,1/2 кирпичного уклона,Tuğla 1/2 Rampa,砖 1/2 坡道,1/2 磚砌坡道
brickHalfRampStairs50Filler,blocks,Block,,,Brick 1/2 Ramp Filler,,"Ziegel – 1/2 Rampe, Füller",1/2 relleno de rampa de ladrillo,Fileur de 1/2 rampe de brique,Riempimento 1/2 rampa di mattoni,レンガ・ランプ型フィラー（1/2）,벽돌 1/2 램프 (혼합물),"Cegła — 1/2 rampy, wypełnienie",Preenchimento da 1/2 rampa de tijolos,1/2 заполнителя кирпичного уклона,Tuğla 1/2 Rampa Dolgusu,砖 1/2 坡道 填充,1/2 磚砌坡道墊片
brickHalfTrimSplit,blocks,Block,,,Brick 1/2 Block Trim Split,,"Ziegel – 1/2-Block, Zierleiste, Spalte",Media moldura de bloque de ladrillo,1/2 bloc de brique fendu,1/2 rivestimento del blocco di mattoni diviso in due,レンガ 1/2ブロック装飾(分割),벽돌 1/2 블록 트리밍 스플릿,"Cegła — 1/2 bloku, wykończenie, przecięcie",Divisão do acabamento de 1/2 bloco central de tijolos,Кирпичный блок под покраску: 1/2,Tuğla 1/2 Blok Çıtası - Parçalı,1/2 砖块缘饰,1/2磚砌塊飾板折半
brickPlate,blocks,Block,,,Brick Plate,,Ziegelplatte,Placa de ladrillo,Plaque de brique,Lastra di mattoni,レンガプレート,판형 벽돌,Cegła — płyta,Placa de tijolos,Квадрат из кирпича,Tuğla Plaka,砖板,磚板
brickPlateDiagonal,blocks,Block,,,Brick Plate Diagonal,,Ziegelplatte – diagonal,Placa de ladrillo diagonal,"Plaque en brique, diagonale",Lastra di mattoni diagonale,レンガプレート（斜め）,벽돌 판형 대각선,"Cegła – płyta, przekątne",Diagonal de placa de tijolo,Диагональная кирпичная плита,Tuğla Plaka Diyagonal,砖板 对角,磚板對角
brickPlateDiagonalFiller,blocks,Block,,,Brick Plate Diagonal Filler,,"Ziegelplatte – Füller, diagonal",Relleno de placa de ladrillo diagonal,"Plaque en brique, diagonale, fileur",Riempimento lastra di mattoni diagonale,レンガプレート（斜め・フィラー）,벽돌 판형 대각선 필러,"Cegła – płyta, przekątne, wypełnienie",Preenchimento de diagonal de placa de tijolo,Заполнитель диагональной кирпичной плиты,Tuğla Plaka Diyagonal Dolgu,砖板 对角 填充,磚板對角墊片
brickPlateDiagonalFillerWallLeft,blocks,Block,,,Brick Plate Diagonal Filler Wall Left,,"Ziegelplatte – diagonale Füllerwand, links",Pared diagonal de relleno de placa de ladrillo izquierda,"Plaque en brique, diagonale, fileur, mur gauche",Riempimento lastra di mattoni diagonale muro sinistra,レンガプレート（斜め・フィラー・壁・左）,벽돌 판형 대각선 필러 벽 왼쪽,"Cegła – płyta, przekątne, wypełnienie, ściana, lewo",Parede esquerda de preenchimento diagonal de placa de tijolo,Заполнитель левой диагональной стен из кирпичных плит,Tuğla Plaka Diyagonal Dolgu Duvar Sol,砖板 对角 填充 墙面 左侧,磚板對角墊片左牆
brickPlateDiagonalFillerWallRight,blocks,Block,,,Brick Plate Diagonal Filler Wall Right,,"Ziegelplatte – diagonale Füllerwand, rechts",Pared diagonal de relleno de placa de ladrillo derecha,"Plaque en brique, diagonale, fileur, mur droit",Riempimento lastra di mattoni diagonale muro destra,レンガプレート（斜め・フィラー・壁・右）,벽돌 판형 대각선 필러 벽 오른쪽,"Cegła – płyta, przekątne, wypełnienie, ściana, prawo",Parede direita de preenchimento diagonal de placa de tijolo,Заполнитель правой диагональной стены из кирпичных плит,Tuğla Plaka Diyagonal Dolgu Duvar Sağ,砖板 对角 填充 墙面 右侧,磚板對角墊片右牆
brickPlateDiagonalWallLeft,blocks,Block,,,Brick Plate Diagonal Wall Left,,"Ziegelplatte – diagonale Wand, links",Pared diagonal de placa de ladrillo izquierda,"Plaque en brique, diagonale, mur gauche",Lastra di mattoni diagonale muro sinistra,レンガプレート（斜め・壁・左）,벽돌 판형 대각선 벽 왼쪽,"Cegła – płyta, przekątne, ściana, lewo",Parede esquerda de diagonal de placa de tijolo,Левая диагональная стена из кирпичных плит,Tuğla Plaka Diyagonal Duvar Sol,砖板 对角 墙面 左侧,磚板左對角牆
brickPlateDiagonalWallRight,blocks,Block,,,Brick Plate Diagonal Wall Right,,"Ziegelplatte – diagonale Wand, rechts",Pared diagonal de placa de ladrillo derecha,"Plaque en brique, diagonale, mur droit",Lastra di mattoni diagonale muro destra,レンガプレート（斜め・壁・右）,벽돌 판형 대각선 벽 오른쪽,"Cegła – płyta, przekątne, ściana, prawo",Parede direita de diagonal de placa de tijolo,Правая диагональная стена из кирпичных плит,Tuğla Plaka Diyagonal Duvar Sağ,砖板 对角 墙面 右侧,磚板右對角牆
brickPlateOffset,blocks,Block,,,Brick Plate Offset,,Ziegelplatte – Versetzt,Contrapeso de placa de ladrillo,Plaque de brique décalée,Lastra spessa di mattoni,レンガプレート（オフセット）,판형 벽돌 (오프셋),"Cegła — płyta, przesunięta",Placa base de tijolos,Выступ: квадрат из кирпича,Tuğla Plaka Çıkıntısı,砖板 偏移,磚板壁階
brickPlatePole,blocks,Block,,,Brick Plate Pole,,Ziegelplatte – Pfosten,Poste de placa de ladrillo,Poteau avec plaque de brique,Palo della lastra di mattoni,レンガプレート(柱),벽돌 판형 장대,"Cegła — płyta, słup",Poste de placa de tijolos,Столбик для кирпичной плиты,Tuğla Plaka Direk,砖板柱,磚板柱
brickPlateWedgeFiller,blocks,Block,,,Brick Plate Wedge Filler,,"Ziegelplatte – Füller, Schräge",Relleno de cuña de placa de ladrillo,"Coin de plaque en brique, fileur",Cuneo riempitivo in lastra di mattoni,レンガプレート（くさび型・フィラー）,벽돌 판형 쐐기 필러,"Cegła – płyta, klin, wypełnienie",Preenchimento de cunha de placa de tijolo,Заполнитель клина из кирпичных плит,Tuğla Plaka Takoz Dolgu,砖板 楔形 填充,磚板楔形填隙料
brickPlateWedgeFillerWallLeft,blocks,Block,,,Brick Plate Wedge Filler Wall Left,,"Ziegelplatte – Füllschrägwand, links",Pared de relleno de cuña de placa de ladrillo izquierda,"Coin de plaque en brique, fileur, mur gauche",Cuneo riempitivo in lastra di mattoni muro sinistra,レンガプレート（くさび型・フィラー・壁・左）,벽돌 판형 쐐기 필러 벽 왼쪽,"Cegła – płyta, klin, wypełnienie, ściana, lewo",Parede esquerda de preenchimento de calço de placa de tijolo,Заполнитель левой стены из кирпичных плит с клином,Tuğla Plaka Takoz Dolgu Duvar Sol,砖板 楔形 填充 墙面 左侧,磚板楔形填隙料左牆
brickPlateWedgeFillerWallRight,blocks,Block,,,Brick Plate Wedge Filler Wall Right,,"Ziegelplatte – Füllschrägwand, rechts",Pared de relleno de cuña de placa de ladrillo derecha,"Coin de plaque en brique, fileur, mur droit",Cuneo riempitivo in lastra di mattoni muro destra,レンガプレート（くさび型・フィラー・壁・右）,벽돌 판형 쐐기 필러 벽 오른쪽,"Cegła – płyta, klin, wypełnienie, ściana, prawo",Parede direita de preenchimento de calço de placa de tijolo,Заполнитель правой стены из кирпичных плит с клином,Tuğla Plaka Takoz Dolgu Duvar Sağ,砖板 楔形 填充 墙面 右侧,磚板楔形填隙料右牆
brickPlateWedgeIncline,blocks,Block,,,Brick Plate Wedge Incline,,Ziegelplatte – Schräge mit Neigung,Cuña con pendiente de placa de ladrillo,Coin incliné de plaque en brique,Cuneo inclinato in lastra di mattoni,レンガプレート（くさび型・傾斜つき）,벽돌 판형 쐐기 경사면,"Cegła – płyta, klin, pochylenie",Cunha de placa de tijolo inclinada,Наклон клина из кирпичных плит,Tuğla Plaka Takoz Eğimli,砖板 楔形 倾斜,磚板楔斜面
brickPlateWedgeInclineWallLeft,blocks,Block,,,Brick Plate Wedge Incline Wall Left,,"Ziegelplatte – Schrägwand mit Neigung, links",Pared de cuña con pendiente de placa de ladrillo izquierda,"Coin incliné de plaque en brique, mur gauche",Cuneo inclinato in lastra di mattoni muro sinistra,レンガプレート（くさび型・傾斜つき・壁・左）,벽돌 판형 쐐기 경사벽 왼쪽,"Cegła – płyta, klin, pochylenie, ściana, lewo",Parede esquerda de plano inclinado de placa de tijolo,Левая стена c наклоном клина из кирпичных плит,Tuğla Plaka Takoz Eğimli Duvar Sol,砖板 楔形 倾斜 墙面 左侧,磚板楔斜面左牆
brickPlateWedgeInclineWallRight,blocks,Block,,,Brick Plate Wedge Incline Wall Right,,"Ziegelplatte – Schrägwand mit Neigung, rechts",Pared de cuña con pendiente de placa de ladrillo derecha,"Coin incliné de plaque en brique, mur droit",Cuneo inclinato in lastra di mattoni muro destra,レンガプレート（くさび型・傾斜つき・壁・右）,벽돌 판형 쐐기 경사벽 오른쪽,"Cegła – płyta, klin, pochylenie, ściana, prawo",Parede direita de plano inclinado de placa de tijolo,Правая стена c наклоном клина из кирпичных плит,Tuğla Plaka Takoz Eğimli Duvar Sağ,砖板 楔形 倾斜 墙面 右侧,磚板楔斜面右牆
brickPlateWedgeTip,blocks,Block,,,Brick Plate Wedge Tip,,Ziegelplatte – Schräge mit Spitze,Punta de cuña de placa de ladrillo,Sommet de coin de plaque en brique,Punta del cuneo in lastra di mattoni,レンガプレート（くさび型・先端）,벽돌 판형 쐐기 끝부분,"Cegła – płyta, klin, końcówka",Ponta de cunha de placa de tijolo,Край клина из кирпичных плит,Tuğla Plaka Takoz Uç,砖板 楔形 尖端,磚板楔尖
brickPlateWedgeTipWallLeft,blocks,Block,,,Brick Plate Wedge Tip Wall Left,,"Ziegelplatte – Schrägwand mit Spitze, links",Pared de punta de cuña de placa de ladrillo izquierda,"Sommet de coin de plaque en brique, mur gauche",Punta del cuneo in lastra di mattoni muro sinistra,レンガプレート（くさび型・先端・壁・左）,벽돌 판형 쐐기 끝부분 벽 왼쪽,"Cegła – płyta, klin, końcówka, ściana, lewo",Parede esquerda de ponta de calço de placa de tijolo,Левая стена c краем клина из кирпичных плит,Tuğla Plaka Takoz Uç Duvar Sol,砖板 楔形 尖端 墙面 左侧,磚板楔尖左牆
brickPlateWedgeTipWallRight,blocks,Block,,,Brick Plate Wedge Tip Wall Right,,"Ziegelplatte – Schrägwand mit Spitze, rechts",Pared de punta de cuña de placa de ladrillo derecha,"Sommet de coin de plaque en brique, mur droit",Punta del cuneo in lastra di mattoni muro destra,レンガプレート（くさび型・先端・壁・右）,벽돌 판형 쐐기 끝부분 벽 오른쪽,"Cegła – płyta, klin, końcówka, ściana, prawo",Parede direita de ponta de calço de placa de tijolo,Правая стена c краем клина из кирпичных плит,Tuğla Plaka Takoz Uç Duvar Sağ,砖板 楔形 尖端 墙面 右侧,磚板楔尖右牆
brickPoleSCTR,blocks,Block,,,Brick Pole SCTR,,Ziegelpfosten – seitenmittig,Poste de ladrillo de centrado lateral,Poteau en brique centré incliné,Palo di mattoni centrale laterale,レンガポール（側面セクター）,벽돌 막대 (사각기둥),"Cegła — słup, wycentr. z boku",Poste de tijolos centralizado na lateral,Центров. кирпичный столб,Tuğla Direk S - Ortalı,砖杆 侧面中心,細磚柱 側方中心
brickPyramid1m,blocks,Block,,,Brick Pyramid 1m,,Ziegelpyramide – 1 m,Pirámide de ladrillo de 1 m,Pyramide en brique 1 m,Piramide di mattoni 1 m,レンガ・ピラミッド型（1m）,벽돌 피라미드 (1m),"Cegła — piramida, 1 m",Pirâmide de tijolos de 1m,Кирпичная пирамида 1 м,Tuğla Piramit - 1 m,砖尖顶 1米,1 米錐形山墻
brickQuarter,blocks,Block,,,Brick 1/4 Block,,Ziegel – 1/4-Block,1/4 de bloque de ladrillo,1/4 de bloc de brique,1/4 blocco di mattoni,レンガブロック（1/4）,벽돌 1/4 블록,Cegła – 1/4 bloku,1/4 de bloco de tijolos,1/4 кирпичного блока,Tuğla 1/4 Blok,1/4砖块,1/4 磚砌塊
brickQuarterCNR,blocks,Block,,,Brick 1/4 Corner,,Ziegel – 1/4-Ecke,1/4 de esquina de ladrillo,1/4 d'angle en brique,1/4 di angolo di mattoni,レンガ（コーナー用・1/4）,벽돌 1/4 모서리,Cegła — 1/4 rogu,1/4 do canto de tijolos,1/4 кирпичного угла,Tuğla 1/4 Köşe,砖 1/4 拐角,1/4 磚砌角
brickQuarterCNR3Way,blocks,Block,,,Brick 1/4 Corner 3Way,,"Ziegel – 1/4-Ecke, 3-Wege",1/4 de esquina de ladrillo triple,Triple 1/4 d'angle en brique,1/4 di angolo di mattoni tripartito,レンガ（3方向コーナー用・1/4）,벽돌 1/4 모서리 (3방향),"Cegła — 1/4 rogu, 3 strony",1/4 do canto triplo de tijolos,1/4 кирпичного угла на 3 стороны,Tuğla 1/4 Köşe - 3 Açılı,砖 1/4 拐角 3向,三向 1/4 磚砌角
